CHEQUEID;LAGERID;KOLVO
23515;22;1.0
23515;58;1.0
23520;91;1.0
23523;44;8.0
23523;50;2.0
23527;93;2.0
23560;21;1.0
23598;2;6.0
23600;40;1.0
23624;14;1.0
23633;2;2.0
23633;5;2.0
23633;104;1.0
23677;51;1.0
23677;38;1.0
23677;115;2.0
23680;2;6.0
23680;44;7.0
23680;7;1.0
23685;44;7.0
23685;62;1.0
23685;107;1.0
23694;22;1.0
23694;59;1.0
23694;99;2.0
23694;50;1.0
23695;33;1.0
23695;21;2.0
23703;40;1.0
23703;105;1.0
23703;13;1.0
23703;27;2.0
23714;36;1.0
23714;22;2.0
23714;53;1.0
23714;80;1.0
23737;59;1.0
23737;112;1.0
23783;1;1.0
23783;27;1.0
23819;104;2.0
23819;86;1.0
23825;11;1.0
23825;30;1.0
23825;88;1.0
23825;81;1.0
23826;44;6.0
23826;106;1.0
23838;116;1.0
23838;7;1.0
23838;43;1.0
23838;86;1.0
23838;96;1.0
23878;29;1.0
23878;42;2.0
23878;24;6.0
23900;29;1.0
23900;53;1.0
23900;30;1.0
23900;32;1.0
23900;101;1.0
23920;83;2.0
23920;3;1.0
23920;105;1.0
23931;95;1.0
23931;29;1.0
23931;12;1.0
23931;123;2.0
23931;26;1.0
23931;107;1.0
23962;33;1.0
23962;62;1.0
23969;53;2.0
23969;78;1.0
23969;10;1.0
23970;7;1.0
23970;19;2.0
23970;78;1.0
23974;51;1.0
23974;52;2.0
23974;90;2.0
23974;96;1.0
23975;29;1.0
23975;30;1.0
23975;44;5.0
23975;114;1.0
23975;84;1.0
23975;54;1.0
23997;21;1.0
23997;78;1.0
24008;48;1.0
24008;29;1.0
24008;76;1.0
24008;10;3.0
24035;10;2.0
24036;44;4.0
24044;105;1.0
24051;51;1.0
24051;40;1.0
24051;80;1.0
24051;115;1.0
24065;14;1.0
24072;29;1.0
24072;53;1.0
24072;114;1.0
24072;104;4.0
24081;33;1.0
24086;76;1.0
24090;29;2.0
24090;31;1.0
24090;44;5.0
24092;15;1.0
24092;29;1.0
24092;3;1.0
24092;32;1.0
24092;104;2.0
24125;15;3.0
24125;29;1.0
24125;3;1.0
24125;53;1.0
24125;11;1.0
24125;30;1.0
24125;31;1.0
24125;42;1.0
24125;71;1.0
24125;59;1.0
24125;35;1.0
24125;73;2.0
24125;121;4.0
24125;63;2.0
24125;74;1.0
24149;51;1.0
24149;105;1.0
24149;21;1.0
24210;15;1.0
24210;63;1.0
24210;28;1.0
24215;20;1.0
24215;99;2.0
24218;71;6.0
24226;31;2.0
24226;108;1.0
24225;15;2.0
24225;16;4.0
24225;47;1.0
24231;46;1.0
24238;29;1.0
24238;40;1.0
24238;41;1.0
24238;13;1.0
24278;51;2.0
24278;36;1.0
24278;29;1.0
24278;27;1.0
24298;95;2.0
24298;3;2.0
24298;113;1.0
24314;51;1.0
24314;58;1.0
24333;8;1.0
24333;121;1.0
24333;58;1.0
24334;61;3.0
24334;8;1.0
24350;36;1.0
24350;80;1.0
24350;90;1.0
24350;57;1.0
24350;58;1.0
24350;126;1.0
24350;74;1.0
24367;29;1.0
24367;84;2.0
24367;18;1.0
24367;78;1.0
24375;2;4.0
24375;58;1.0
24375;68;1.0
24410;18;1.0
24410;49;1.0
24410;17;1.0
24410;125;1.0
24410;27;2.0
24417;83;1.0
24420;9;1.0
24420;74;2.0
24424;20;1.0
24424;73;1.0
24424;94;1.0
24424;110;1.0
24427;23;1.0
24427;122;1.0
24427;21;1.0
24428;39;1.0
24473;45;1.0
24473;112;1.0
24473;46;1.0
24473;78;1.0
24473;27;1.0
24497;35;1.0
24497;113;1.0
24497;120;1.0
24497;97;1.0
24497;74;1.0
24499;21;1.0
24499;117;1.0
24502;15;1.0
24502;41;1.0
24506;15;2.0
24506;53;1.0
24506;54;2.0
24506;9;1.0
24511;51;2.0
24511;31;3.0
24511;71;2.0
24511;45;2.0
24511;63;2.0
24511;39;1.0
24518;5;1.0
24518;23;1.0
24518;105;1.0
24518;7;1.0
24518;20;1.0
24518;109;4.0
24535;8;1.0
24535;93;1.0
24535;28;1.0
24547;29;1.0
24547;53;1.0
24547;23;1.0
24573;29;1.0
24573;31;1.0
24573;35;1.0
24573;73;1.0
24573;109;4.0
24584;7;2.0
24584;14;1.0
24584;43;2.0
24584;69;2.0
24586;4;1.0
24586;11;1.0
24586;63;1.0
24586;78;1.0
24586;27;2.0
24586;69;1.0
24589;31;1.0
24589;12;1.0
24589;6;1.0
24589;65;2.0
24589;17;1.0
24589;97;1.0
24591;78;1.0
24591;124;2.0
24595;29;2.0
24595;44;7.0
24595;114;1.0
24595;7;1.0
24595;21;1.0
24595;93;1.0
24595;120;1.0
24595;27;2.0
24603;26;1.0
24629;23;1.0
24629;44;10.0
24629;69;1.0
24689;77;2.0
24718;42;2.0
24718;25;2.0
24718;121;1.0
24718;69;1.0
24728;80;2.0
24728;14;2.0
24737;15;1.0
24737;5;3.0
24744;2;2.0
24744;15;1.0
24744;3;2.0
24744;11;1.0
24744;31;1.0
24744;41;1.0
24744;71;1.0
24744;25;1.0
24744;6;2.0
24744;52;3.0
24744;105;2.0
24744;54;3.0
24744;102;1.0
24744;109;4.0
24744;17;1.0
24744;57;2.0
24765;51;1.0
24765;42;2.0
24765;114;1.0
24765;88;1.0
24767;104;2.0
24775;11;1.0
24775;41;1.0
24775;44;3.0
24775;105;1.0
24775;13;1.0
24775;14;1.0
24775;69;1.0
24778;95;1.0
24778;1;2.0
24778;36;1.0
24778;101;2.0
24778;50;1.0
24778;69;2.0
24784;51;1.0
24784;27;2.0
24786;15;4.0
24786;44;32.0
24786;25;2.0
24786;33;1.0
24786;62;1.0
24804;15;1.0
24804;53;1.0
24804;31;1.0
24804;23;2.0
24804;79;1.0
24804;128;1.0
24810;7;1.0
24810;75;1.0
24810;67;1.0
24812;106;1.0
24812;77;1.0
24814;3;1.0
24814;45;1.0
24814;14;1.0
24814;108;1.0
24814;86;1.0
24814;64;1.0
24828;15;1.0
24828;25;1.0
24828;7;1.0
24837;104;3.0
24837;121;1.0
24841;29;1.0
24841;30;1.0
24841;114;1.0
24841;105;1.0
24841;81;1.0
24841;60;1.0
24850;3;1.0
24850;40;1.0
24850;79;1.0
24850;94;1.0
24850;27;3.0
24850;69;1.0
24850;74;2.0
24852;82;1.0
24852;49;1.0
24852;112;5.0
24853;3;1.0
24872;30;1.0
24872;7;1.0
24872;79;1.0
24900;61;2.0
24900;67;2.0
24904;88;1.0
24904;126;2.0
25105;14;2.0
25105;94;1.0
24922;83;18.0
24939;48;1.0
24939;7;1.0
24939;97;1.0
24939;76;1.0
24939;58;1.0
24939;69;2.0
24946;3;1.0
24946;12;1.0
24946;114;1.0
24946;78;1.0
24946;55;1.0
24954;17;1.0
24979;31;1.0
24979;41;1.0
24979;23;1.0
24979;50;1.0
24984;51;1.0
24984;15;2.0
24984;29;1.0
24984;3;1.0
24984;40;1.0
24984;13;1.0
24984;128;1.0
24984;75;1.0
24984;86;1.0
24984;85;1.0
24986;16;2.0
25115;44;6.0
24997;7;1.0
24997;58;1.0
24999;15;2.0
24999;30;1.0
24999;42;2.0
24999;23;2.0
24999;25;1.0
24999;20;1.0
24999;26;1.0
24999;93;1.0
25011;15;1.0
25011;29;1.0
25011;82;1.0
25011;101;1.0
25011;69;3.0
25011;67;3.0
25019;2;1.0
25019;48;1.0
25019;5;1.0
25019;24;1.0
25019;39;1.0
25035;41;1.0
25035;23;2.0
25035;33;1.0
25035;13;1.0
25035;79;1.0
25035;69;1.0
25038;64;1.0
25121;75;1.0
25121;77;2.0
25127;128;1.0
25127;57;1.0
25059;29;2.0
25059;30;1.0
25059;42;2.0
25059;114;1.0
25059;38;1.0
25059;124;1.0
25059;55;1.0
25130;51;1.0
25130;15;1.0
25130;29;1.0
25130;53;1.0
25130;30;1.0
25130;56;1.0
25130;32;1.0
25130;88;1.0
25130;128;1.0
25130;17;1.0
25130;50;1.0
25130;78;1.0
25130;126;1.0
25130;67;1.0
25072;80;1.0
25072;90;4.0
25072;57;1.0
25073;15;1.0
25073;30;1.0
25073;32;1.0
25073;12;1.0
25073;81;1.0
25073;66;3.0
25076;51;1.0
25076;15;1.0
25076;29;1.0
25076;3;1.0
25076;30;1.0
25076;32;1.0
25076;105;1.0
25076;7;1.0
25076;62;1.0
25076;49;1.0
25076;74;1.0
25150;39;1.0
25156;93;1.0
25157;29;2.0
25157;53;2.0
25157;41;1.0
25157;44;8.0
25239;65;1.0
25239;46;1.0
25239;68;1.0
25248;36;2.0
25248;29;1.0
25248;3;2.0
25248;72;1.0
25258;36;1.0
25258;19;1.0
25258;112;1.0
25258;113;1.0
25266;15;1.0
25266;29;1.0
25266;3;1.0
25266;42;1.0
25266;44;7.0
25266;12;1.0
25266;49;1.0
25266;17;1.0
25269;61;1.0
25269;3;1.0
25269;4;1.0
25269;37;1.0
25269;45;1.0
25269;120;1.0
25269;126;2.0
25312;76;1.0
25313;54;2.0
25313;65;1.0
25313;79;1.0
25313;75;2.0
25313;90;2.0
25313;58;1.0
25313;91;1.0
25318;84;1.0
25333;42;2.0
25333;81;1.0
25333;62;1.0
25354;111;1.0
25358;3;1.0
25358;82;1.0
25371;51;1.0
25371;3;1.0
25371;42;2.0
25371;44;7.0
25371;25;1.0
25371;32;1.0
25371;37;1.0
25371;7;1.0
25371;59;1.0
25371;14;1.0
25371;87;2.0
25371;85;1.0
25371;69;2.0
25379;37;1.0
25379;100;2.0
25379;86;1.0
25379;92;2.0
25380;80;1.0
25380;50;1.0
25380;126;1.0
25430;54;4.0
25435;22;1.0
25435;49;1.0
25435;90;1.0
25435;50;1.0
25457;78;1.0
25474;22;1.0
25474;32;1.0
25474;88;1.0
25474;93;1.0
25474;39;1.0
25474;50;1.0
25474;69;1.0
25491;47;1.0
25495;93;2.0
25495;90;1.0
25496;41;1.0
25496;23;1.0
25496;75;1.0
25501;41;2.0
25501;44;5.0
25501;26;2.0
25522;33;1.0
25551;9;1.0
25551;117;1.0
25573;2;6.0
25573;31;1.0
25573;42;2.0
25580;53;2.0
25580;41;3.0
25580;42;3.0
25580;14;1.0
25580;69;2.0
25583;105;1.0
25583;93;1.0
25583;90;2.0
25583;91;2.0
25591;37;1.0
25591;7;2.0
25591;113;1.0
25591;57;1.0
25601;49;1.0
25601;80;1.0
25601;14;3.0
25601;21;1.0
25601;75;1.0
25629;29;1.0
25629;44;6.0
25629;88;2.0
25629;33;1.0
25629;103;1.0
25629;21;1.0
25629;28;1.0
25650;29;1.0
25654;29;1.0
25654;60;1.0
25654;80;1.0
25654;21;1.0
25654;90;2.0
25664;72;1.0
25664;81;1.0
25664;106;1.0
25664;57;1.0
25677;122;2.0
25699;15;2.0
25699;45;2.0
25708;1;1.0
25708;15;2.0
25708;29;1.0
25708;30;1.0
25708;41;1.0
25708;44;5.0
25708;12;1.0
25708;60;1.0
25708;50;1.0
25710;39;1.0
25710;78;2.0
25733;15;2.0
25733;4;1.0
25733;32;1.0
25733;26;1.0
25733;39;1.0
25733;78;1.0
25733;91;2.0
25768;95;1.0
25768;51;1.0
25768;29;1.0
25768;53;1.0
25768;31;1.0
25768;40;3.0
25768;41;1.0
25768;88;1.0
25768;57;1.0
25789;61;3.0
25789;113;1.0
25789;124;2.0
25818;15;2.0
25818;23;2.0
25818;12;2.0
25818;47;2.0
25853;29;1.0
25853;21;1.0
25853;108;1.0
25853;50;1.0
25856;14;1.0
25865;15;3.0
25865;61;1.0
25865;105;1.0
25865;14;8.0
25865;76;1.0
25865;69;4.0
25871;15;1.0
25871;41;1.0
25871;62;1.0
25871;86;1.0
25871;74;1.0
25883;103;1.0
25883;90;2.0
25883;96;1.0
25911;60;1.0
25939;15;1.0
25939;3;1.0
25939;116;1.0
25939;44;4.0
25939;25;1.0
25939;117;3.0
25945;29;2.0
25945;30;1.0
25945;31;2.0
25945;32;1.0
25950;32;1.0
25950;14;1.0
25950;86;1.0
25964;51;1.0
25964;7;1.0
25964;13;2.0
25964;57;1.0
25964;47;1.0
25965;15;1.0
25965;25;1.0
25965;16;4.0
25965;17;1.0
25980;15;1.0
25980;29;1.0
25980;12;1.0
25980;19;1.0
25980;10;1.0
26022;15;2.0
26022;3;1.0
26025;29;2.0
26025;3;3.0
26025;82;1.0
26025;33;2.0
26059;15;1.0
26059;18;1.0
26059;90;1.0
26073;2;2.0
26073;38;1.0
26073;87;1.0
26073;57;1.0
26089;87;2.0
26092;107;15.0
26113;15;1.0
26113;29;1.0
26113;41;1.0
26113;76;1.0
26113;74;1.0
26114;125;1.0
26125;2;5.0
26125;48;3.0
26125;104;1.0
26126;45;1.0
26126;112;1.0
26126;94;1.0
26139;44;11.0
26148;44;4.0
26148;90;5.0
26168;5;2.0
26168;106;2.0
26175;29;1.0
26175;53;1.0
26175;41;1.0
26199;19;1.0
26205;23;1.0
26205;88;1.0
26205;102;1.0
26205;45;1.0
26236;51;1.0
26236;48;1.0
26236;15;1.0
26236;29;1.0
26236;12;1.0
26236;127;2.0
26236;18;2.0
26236;90;1.0
26236;57;1.0
26236;55;1.0
26237;2;1.0
26237;15;2.0
26237;44;10.0
26237;18;6.0
26237;26;1.0
26237;21;1.0
26237;75;1.0
26237;120;1.0
26237;115;1.0
26237;57;1.0
26237;69;1.0
26251;90;2.0
26260;98;2.0
26260;71;2.0
26260;100;4.0
26260;96;1.0
26260;27;2.0
26263;29;2.0
26263;31;2.0
26263;42;3.0
26263;16;4.0
26263;90;4.0
26264;15;2.0
26264;29;2.0
26264;100;2.0
26264;54;1.0
26266;29;1.0
26266;81;1.0
26266;21;1.0
26276;15;1.0
26276;3;1.0
26276;12;1.0
26276;26;1.0
26276;39;1.0
26310;30;1.0
26310;31;2.0
26310;42;1.0
26310;71;1.0
26310;6;1.0
26310;18;1.0
26310;57;2.0
26313;116;2.0
26313;18;4.0
26313;90;4.0
26327;18;1.0
26327;26;1.0
26327;96;2.0
26332;15;1.0
26332;29;1.0
26332;4;1.0
26332;11;1.0
26332;98;1.0
26332;71;1.0
26332;23;1.0
26332;32;1.0
26332;114;1.0
26332;33;1.0
26332;100;3.0
26332;73;1.0
26332;57;1.0
26332;69;2.0
26333;15;2.0
26333;29;1.0
26333;98;1.0
26333;41;1.0
26333;25;1.0
26333;13;1.0
26333;101;1.0
26333;60;1.0
26333;21;1.0
26364;78;1.0
26378;15;1.0
26378;83;1.0
26378;23;1.0
26378;109;3.0
26378;78;1.0
26383;116;3.0
26383;100;3.0
26383;18;2.0
26383;94;3.0
26386;116;1.0
26414;2;2.0
26414;9;1.0
26416;44;4.0
26464;36;1.0
26464;15;2.0
26464;3;1.0
26464;122;1.0
26464;24;1.0
26464;43;1.0
26470;15;2.0
26470;24;1.0
26470;43;1.0
26470;90;2.0
26471;29;1.0
26471;116;1.0
26471;30;1.0
26471;41;1.0
26471;71;1.0
26471;23;1.0
26471;90;1.0
26474;77;2.0
26481;44;9.0
26481;101;1.0
26481;18;2.0
26481;94;6.0
26483;2;6.0
26486;127;2.0
26486;19;1.0
26514;31;1.0
26514;123;4.0
26514;76;1.0
26539;116;2.0
26539;53;1.0
26539;42;2.0
26539;56;1.0
26539;72;1.0
26539;26;1.0
26539;112;1.0
26539;14;1.0
26539;63;1.0
26539;57;1.0
26542;51;1.0
26542;15;1.0
26542;29;1.0
26542;98;2.0
26542;71;1.0
26542;32;1.0
26542;26;1.0
26542;21;1.0
26542;75;1.0
26542;94;2.0
26542;50;1.0
26542;27;1.0
26557;48;5.0
26557;71;1.0
26557;43;1.0
26557;69;1.0
26566;115;1.0
26576;127;1.0
26576;79;1.0
26577;15;2.0
26577;7;1.0
26577;27;1.0
26583;1;2.0
26583;77;1.0
26593;116;2.0
26593;4;1.0
26593;124;1.0
26618;116;2.0
26618;98;3.0
26618;44;8.0
26618;102;1.0
26618;18;2.0
26618;19;2.0
26618;50;1.0
26618;27;1.0
26620;95;2.0
26620;15;2.0
26620;83;2.0
26620;98;2.0
26620;5;1.0
26620;84;1.0
26620;102;1.0
26620;122;2.0
26620;60;1.0
26620;109;4.0
26620;28;1.0
26620;67;1.0
26620;74;1.0
26627;17;1.0
26627;78;1.0
26648;49;1.0
26648;24;1.0
26648;68;1.0
26659;82;1.0
26669;106;1.0
26683;1;1.0
26686;100;4.0
26686;123;2.0
26733;44;5.0
26733;70;6.0
26740;95;1.0
26740;29;1.0
26740;53;1.0
26740;31;1.0
26740;98;1.0
26740;42;1.0
26740;66;2.0
26740;109;2.0
26740;108;1.0
26740;57;1.0
26740;69;1.0
26744;15;1.0
26744;30;1.0
26744;123;1.0
26744;65;1.0
26744;91;2.0
26744;28;1.0
26748;116;2.0
26748;123;2.0
26748;97;1.0
26751;53;2.0
26751;44;3.0
26758;77;10.0
26765;15;1.0
26765;8;1.0
26765;122;1.0
26765;57;1.0
26765;69;2.0
26771;15;1.0
26771;44;8.0
26771;25;1.0
26782;3;1.0
26782;7;1.0
26782;84;1.0
26782;49;1.0
26782;124;1.0
26782;69;3.0
26791;36;1.0
26791;45;1.0
26791;79;1.0
26791;80;3.0
26791;17;1.0
26791;75;1.0
26791;57;1.0
26791;85;1.0
26818;18;4.0
26818;63;1.0
26830;44;4.0
26830;123;3.0
26831;15;2.0
26831;29;1.0
26875;42;2.0
26875;7;1.0
26875;57;1.0
26875;69;1.0
26892;26;1.0
26892;19;1.0
26895;69;2.0
26927;15;1.0
26927;3;1.0
26927;111;2.0
26927;87;2.0
26927;57;1.0
26927;47;1.0
26961;19;2.0
26961;93;1.0
26961;63;1.0
26963;44;6.0
26963;26;1.0
26964;15;2.0
26964;83;1.0
26964;98;1.0
26964;42;1.0
26964;71;1.0
26964;25;2.0
26964;123;2.0
26964;80;1.0
26964;121;1.0
26964;17;1.0
26964;24;1.0
26964;76;2.0
26986;2;2.0
26990;14;1.0
26990;17;1.0
27008;69;1.0
27009;51;2.0
27009;31;2.0
27009;98;2.0
27009;42;2.0
27009;100;10.0
27009;24;2.0
27062;95;1.0
27062;42;1.0
27062;38;1.0
27062;18;1.0
27062;21;1.0
27062;57;1.0
27062;107;1.0
27062;69;1.0
27083;118;2.0
27083;98;2.0
27083;25;2.0
27083;18;1.0
27090;41;1.0
27090;23;3.0
27090;33;3.0
27098;25;1.0
27098;12;2.0
27098;7;1.0
27098;33;2.0
27098;21;1.0
27098;28;1.0
27112;51;2.0
27112;2;2.0
27112;98;2.0
27112;114;2.0
27112;7;1.0
27112;79;1.0
27112;60;1.0
27112;64;2.0
27121;2;4.0
27121;15;2.0
27126;119;1.0
27126;12;1.0
27126;39;2.0
27126;58;1.0
27128;15;1.0
27128;83;1.0
27128;3;1.0
27128;53;1.0
27128;81;1.0
27128;7;1.0
27128;100;12.0
27128;54;1.0
27128;101;1.0
27128;26;1.0
27128;126;1.0
27146;71;1.0
27146;59;1.0
27146;62;1.0
27146;112;1.0
27146;109;3.0
27146;14;2.0
27146;57;2.0
27146;58;1.0
27148;14;1.0
27148;126;2.0
27173;118;2.0
27173;119;1.0
27173;30;1.0
27173;44;7.0
27173;52;1.0
27173;114;1.0
27173;18;1.0
27173;124;1.0
27221;3;8.0
27221;112;1.0
27221;99;2.0
27225;76;1.0
27225;67;3.0
27229;104;2.0
27229;14;1.0
27252;51;1.0
27252;15;1.0
27252;30;1.0
27252;31;1.0
27252;98;1.0
27252;40;2.0
27252;12;1.0
27252;18;2.0
27252;19;1.0
27252;8;1.0
27252;17;1.0
27252;99;1.0
27252;69;1.0
27252;70;1.0
27255;54;3.0
27255;110;2.0
27260;56;1.0
27262;44;5.0
27262;21;1.0
27262;70;1.0
27263;15;2.0
27263;118;2.0
27263;116;1.0
27263;31;1.0
27263;98;1.0
27263;44;3.0
27263;25;2.0
27263;12;2.0
27263;7;1.0
27263;64;1.0
27269;44;12.0
27269;114;2.0
27269;18;1.0
27274;23;1.0
27274;12;1.0
27274;7;1.0
27274;122;2.0
27274;28;1.0
27283;30;1.0
27283;114;1.0
27283;13;1.0
27283;73;1.0
27283;104;2.0
27283;121;1.0
27283;14;1.0
27305;44;6.0
27305;7;1.0
27305;84;1.0
27305;58;1.0
27305;91;2.0
27305;69;1.0
27307;7;1.0
27307;24;1.0
27313;15;2.0
27313;53;1.0
27313;103;1.0
27313;79;1.0
27313;64;3.0
27319;53;1.0
27319;30;1.0
27319;42;2.0
27319;46;1.0
27319;67;1.0
27320;15;1.0
27320;83;1.0
27320;12;1.0
27320;7;1.0
27320;129;2.0
27320;128;1.0
27320;21;1.0
27330;54;5.0
27330;54;1.0
27330;74;1.0
27333;116;1.0
27333;98;1.0
27333;5;6.0
27333;52;1.0
27333;20;1.0
27339;51;1.0
27339;36;1.0
27343;11;1.0
27343;30;1.0
27343;71;1.0
27343;114;1.0
27343;129;3.0
27343;108;1.0
27343;97;1.0
27343;57;1.0
27365;15;1.0
27365;53;1.0
27365;30;1.0
27365;41;1.0
27365;44;3.0
27365;62;1.0
27365;50;1.0
27365;78;1.0
27365;58;1.0
27365;126;2.0
27376;15;1.0
27376;114;2.0
27376;84;1.0
27377;53;1.0
27377;98;1.0
27377;5;6.0
27377;42;2.0
27377;71;2.0
27377;126;1.0
27377;69;2.0
27379;118;2.0
27379;116;2.0
27379;98;2.0
27379;123;2.0
27379;18;1.0
27379;28;1.0
27384;95;1.0
27384;118;1.0
27384;119;2.0
27384;98;2.0
27384;123;1.0
